S-1	S-10	S-11	S-12	S-17	S-18	S-19	S-2	S-20	S-21	S-22	S-23	S-24	S-25	S-26	S-27	S-28	S-29	S-3	S-30	S-31	S-32	S-33	S-34	S-35	S-36	S-37	S-38	S-39	S-4	S-40	S-5	S-6	S-7	S-8	S-9	taxonomy
0	1	0	0	0	0	6	0	2	0	0	72	5	3	18	8	1	0	0	0	0	0	5	0	0	0	0	0	1	0	0	1	3	0	0	79	Desulfobacterota; Desulfobacteria; Desulfatiglandales; Desulfatiglandaceae; Desulfatiglans
1	0	0	78	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Gemmatimonadota; BD2-11 terrestrial group
0	31	0	0	0	0	0	0	78	0	0	0	2	16	2	15	0	0	4	0	0	0	2	0	5	14	0	0	0	0	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Steroidobacterales; Woeseiaceae; Woeseia
0	0	0	0	0	0	0	0	0	0	0	78	3	0	13	1	0	1	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0	0	0	49	Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfosarcinaceae; Sva0081 sediment group
16	8	0	0	0	0	0	8	2	0	0	0	9	78	1	0	0	0	3	0	1	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	Campilobacterota; Campylobacteria; Campylobacterales; Sulfurimonadaceae; Sulfurimonas
0	0	0	0	0	0	0	0	3	24	0	0	0	0	0	0	0	0	19	2	1	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	Bacteroidota; Bacteroidia
0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	2	1	0	0	Proteobacteria; Gammaproteobacteria
0	0	78	0	0	7	0	0	0	11	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria
0	78	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	78	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	Bacteroidota; Bacteroidia; Cytophagales; Cyclobacteriaceae; Marivirga
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	Chloroflexi; Chloroflexia; Chloroflexales; Chloroflexaceae
13	17	9	3	31	40	46	9	48	22	57	58	63	31	31	41	30	3	38	1	11	12	75	47	34	59	1	0	61	26	0	66	78	34	10	32	Proteobacteria; Alphaproteobacteria; Rhizobiales; Methyloligellaceae; Methyloceanibacter
0	9	0	0	0	0	0	0	43	0	0	11	45	78	25	52	0	9	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	18	Proteobacteria; Gammaproteobacteria; Alteromonadales; Marinobacteraceae; Marinobacter
0	0	78	0	16	3	29	0	1	17	3	0	0	0	0	1	12	0	4	0	0	3	0	7	1	0	1	0	0	15	0	1	0	28	25	0	Proteobacteria; Alphaproteobacteria
0	0	1	0	4	4	0	0	0	12	1	0	0	0	0	1	0	0	3	0	1	10	0	18	0	0	3	0	0	5	0	0	0	22	77	0	Proteobacteria; Alphaproteobacteria
7	0	77	0	8	0	0	0	0	0	11	11	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	12	23	0	0	4	1	0	1	Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	2	1	1	2	2	1	1	77	0	1	0	67	0	1	1	0	0	Firmicutes; Bacilli; Bacillales; Bacillaceae
3	0	0	0	0	0	43	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	77	0	0	6	9	0	0	2	Desulfobacterota; Desulfuromonadia; Syntrophotaleaceae; Syntrophotalea
0	11	0	0	0	0	0	4	1	0	0	0	1	77	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Campilobacterota; Campylobacteria; Campylobacterales
14	0	5	4	49	8	0	15	0	1	12	0	0	0	0	0	0	0	1	3	3	14	0	7	0	0	1	0	0	33	0	0	0	74	77	0	Bacteroidota; Rhodothermia; Balneolales; Balneolaceae
5	0	0	0	1	3	45	0	4	9	39	0	0	0	0	1	33	0	77	0	3	21	0	30	0	0	2	0	3	25	0	62	7	67	24	0	Proteobacteria; Gammaproteobacteria; Oceanospirillalesitrincolaceae; Marinobacterium
0	51	0	0	0	0	0	3	77	0	0	15	56	57	6	12	0	0	4	0	0	0	2	0	9	22	0	0	1	0	0	1	0	0	0	7	Desulfobacterota; Desulfuromonadia; Sva1033
0	0	0	0	0	3	0	0	0	1	11	0	0	0	0	0	0	0	49	0	24	3	0	10	0	0	77	0	0	0	0	0	0	0	38	0	Acidobacteriota; Thermoanaerobaculia; Thermoanaerobaculales; Thermoanaerobaculaceae; Subgroup 10
15	1	0	0	0	0	6	17	5	1	6	55	31	17	42	21	2	9	4	0	3	4	76	3	30	51	2	0	6	11	0	48	61	4	5	39	Actinobacteriota; Actinobacteria; Micrococcales; Intrasporangiaceae
1	0	0	0	0	0	2	0	0	0	76	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	20	0	0	Gemmatimonadota; BD2-11 terrestrial group
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	21	0	0	1	2	0	0	1	0	0	Proteobacteria; Gammaproteobacteria; Oceanospirillales
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	2	0	0	76	0	0	0	2	2	0	0	0	Proteobacteria; Gammaproteobacteria
7	42	0	0	0	0	0	1	54	0	0	15	32	29	12	24	2	4	5	0	8	0	15	1	61	76	0	0	4	0	1	5	32	0	2	9	Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
7	0	66	2	13	76	6	1	7	14	13	0	0	0	0	1	9	0	11	9	9	0	0	0	0	0	4	1	1	14	0	17	3	13	26	0	Myxococcota; Polyangia; Polyangiales
1	63	0	0	0	0	0	6	45	0	0	5	18	16	10	20	0	0	7	0	3	0	11	1	54	76	0	0	0	0	0	0	12	0	0	6	Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
3	0	76	21	19	12	0	9	0	5	19	0	0	0	0	0	0	0	17	0	7	2	0	2	0	0	0	0	1	18	0	0	0	14	9	0	Nitrospirotaitrospiriaitrospiralesitrospiraceaeitrospira
0	0	0	0	0	0	0	0	0	0	0	65	3	1	33	0	0	1	0	0	0	0	76	0	0	2	0	0	2	0	0	0	2	0	0	20	Chloroflexi; Anaerolineae
3	2	0	0	1	2	75	1	1	0	39	12	1	0	3	3	3	0	0	0	3	0	7	0	0	0	0	0	18	0	0	1	1	2	0	7	Proteobacteria; Gammaproteobacteria
0	0	0	0	0	2	0	0	3	1	2	0	0	0	0	0	0	1	9	0	75	0	0	1	0	0	18	4	0	0	0	0	0	0	41	0	Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Permianibacter
75	0	4	0	3	5	0	49	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	39	0	0	0	9	0	0	Bacteroidota; Rhodothermia; Balneolales; Balneolaceae
5	0	0	0	45	13	40	1	6	55	33	3	0	0	1	13	33	0	32	0	6	75	7	41	1	1	0	1	61	21	0	26	25	71	4	1	Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales Incertae Sedis; Bauldia
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	12	3	18	0	75	Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Maribacter
1	0	0	0	11	17	32	1	1	0	51	0	0	0	0	4	47	1	21	0	1	8	0	0	0	0	0	0	3	27	0	24	1	75	0	0	Proteobacteria; Gammaproteobacteria
4	14	0	0	0	0	0	0	10	0	0	75	18	9	31	7	0	1	2	0	0	0	21	0	0	3	0	0	0	0	0	4	5	0	0	50	Bacteroidota; Ignavibacteria; Ignavibacteriales; PHOS-HE36
7	1	0	0	0	0	59	0	5	0	28	0	0	0	0	11	22	0	0	0	1	0	0	0	0	0	0	0	0	3	0	75	28	10	1	0	NB1-j
0	0	0	0	0	0	4	0	1	0	0	57	1	0	26	1	0	0	0	0	0	0	47	0	0	0	0	0	5	0	0	0	1	0	0	75	Proteobacteria; Gammaproteobacteria
0	0	0	0	24	2	0	0	0	14	1	0	0	0	0	0	0	0	6	0	2	24	0	49	0	0	1	0	0	3	0	0	0	7	75	0	Proteobacteria; Alphaproteobacteria
0	3	0	0	0	0	0	1	11	0	0	1	74	36	0	2	0	0	1	0	0	0	0	0	4	58	1	0	0	0	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Milano-WF1B-44
1	0	1	5	1	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	Actinobacteriota
0	0	0	0	4	3	0	0	5	17	74	4	20	1	0	12	0	0	0	0	2	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
2	0	0	1	3	5	0	1	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	1	1	0	Desulfobacterota; Desulfuromonadia; Geothermobacteraceae; Geothermobacter
0	0	0	0	7	1	0	0	3	29	0	0	0	0	0	0	0	0	0	0	0	2	0	74	0	0	0	0	0	1	0	0	0	10	0	0	Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae
0	1	0	0	0	0	74	0	0	0	1	13	2	1	4	3	0	1	0	0	0	0	2	0	0	1	0	0	6	0	0	0	0	0	0	11	Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfosarcinaceae
1	1	0	0	0	0	0	1	9	0	0	0	0	1	0	3	0	0	0	0	18	0	0	0	1	0	74	0	0	1	0	0	0	0	2	0	Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae
0	0	3	74	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Desulfobacterota; Desulfobulbia; Desulfobulbales; Desulfocapsaceae; Desulfofustis
0	0	7	2	0	74	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	1	0	0	0	0	4	0	Bacteroidota; Rhodothermia; Balneolales; Balneolaceae
0	74	0	0	0	0	0	1	10	0	0	0	1	1	3	2	0	0	8	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	1	5	Desulfobacterota; Desulfobulbia; Desulfobulbales; Desulfocapsaceae; Desulfotalea
3	52	0	0	0	0	0	2	37	0	2	54	74	41	12	20	0	0	5	0	0	0	47	0	37	44	0	0	4	2	0	8	52	0	0	29	Myxococcota; Polyangia
13	4	0	0	13	5	60	1	6	1	30	8	3	3	5	17	24	0	0	0	2	21	7	1	17	7	0	0	29	16	1	48	74	26	0	4	Proteobacteria; Alphaproteobacteria; Kiloniellales; Kiloniellaceae
0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	74	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Mesonia
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	Firmicutes; Bacilli; Bacillales; Planococcaceae; Sporosarcina
54	0	2	0	24	74	39	49	1	0	58	8	3	0	0	3	11	0	1	0	1	0	0	0	0	0	0	0	1	41	0	10	4	3	0	4	Proteobacteria; Alphaproteobacteria; Defluviicoccales; Defluviicoccaceae; Defluviicoccus
0	0	15	74	10	27	0	2	2	25	7	0	0	0	0	0	0	3	3	0	65	5	0	51	0	0	15	10	0	4	0	1	1	1	45	0	Firmicutes; Bacilli; Bacillales; Bacillaceae
1	2	0	0	0	0	4	0	1	8	0	74	18	2	60	9	2	2	0	0	4	1	62	4	4	7	1	0	22	0	1	2	14	7	2	49	Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Oricola
5	1	14	1	2	0	0	0	1	8	4	2	0	0	2	0	1	47	1	18	12	0	0	34	0	0	8	74	0	2	13	0	5	5	14	0	Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
0	18	0	0	0	0	0	1	74	0	0	7	26	43	14	44	0	1	0	0	0	0	6	0	6	9	0	0	0	0	0	0	0	0	0	5	Proteobacteria; Gammaproteobacteria
3	1	0	0	5	7	61	0	1	0	3	16	1	1	4	1	4	0	0	0	1	0	12	0	2	1	0	0	74	0	1	23	24	0	0	7	Proteobacteria; Gammaproteobacteria; B2M28
2	0	2	4	1	70	0	8	0	1	4	0	0	0	0	0	0	0	1	0	3	12	0	0	0	0	0	0	0	74	0	0	0	41	0	0	Proteobacteria
2	0	0	0	0	0	8	0	0	0	0	49	1	0	5	0	0	2	0	0	0	0	74	0	0	0	0	0	11	0	0	2	5	0	0	48	Acidobacteriota; Subgroup 26
1	2	0	0	5	4	4	1	0	0	73	0	2	0	0	9	2	0	0	0	3	3	1	1	5	3	0	0	5	31	0	6	8	28	0	0	Gemmatimonadota; AKAU4049
0	2	0	0	0	0	1	0	7	0	0	73	21	4	16	1	0	0	0	0	0	0	9	0	0	6	0	0	3	0	0	0	0	0	0	58	Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfosarcinaceae; SEEP-SRB1
73	0	6	2	1	5	0	26	0	0	10	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	45	0	0	6	9	1	0	Proteobacteria; Alphaproteobacteria
0	0	0	0	0	0	15	0	0	0	0	73	3	1	11	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	Proteobacteria; Alphaproteobacteria
0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	14	0	2	0	0	0	1	0	0	0	19	0	0	73	0	0	0	0	0	Actinobacteriota; Thermoleophilia; Gaiellales; Gaiellaceae; Gaiella
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	1	0	0	0	0	0	0	0	0	1	73	0	0	0	0	0	Chloroflexi; KD4-96
0	73	0	0	0	0	0	0	1	0	0	2	0	1	3	0	0	0	10	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	5	Verrucomicrobiota; Kiritimatiellae; Kiritimatiellales; Kiritimatiellaceae; R76-B128
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	73	0	0	0	0	0	0	0	Firmicutes; Bacilli; Thermoactinomycetales; Thermoactinomycetaceae; Thermoactinomyces
7	23	0	0	0	0	11	0	3	0	3	53	6	3	47	22	0	1	2	0	1	0	15	0	2	0	0	0	2	0	0	34	73	0	1	60	Proteobacteria; Gammaproteobacteria
14	0	0	0	9	0	61	1	0	0	33	4	2	0	0	0	8	1	0	0	1	0	8	0	0	0	0	0	73	3	1	28	25	4	0	7	Proteobacteria; Gammaproteobacteria; B2M28
0	14	0	0	0	0	0	0	32	0	0	0	65	73	0	6	0	0	3	0	0	0	2	0	1	12	0	0	0	0	0	0	0	0	0	0	Desulfobacterota
14	0	1	0	0	0	45	1	5	0	2	1	0	0	0	3	72	6	2	0	8	1	0	0	0	0	1	0	0	2	0	6	1	2	5	10	Cyanobacteria; Cyanobacteriia; Cyanobacterialesostocaceae; Rivularia PCC-7116
0	0	0	0	0	0	1	0	9	1	9	0	11	0	1	1	2	0	0	0	19	72	22	6	8	0	0	0	3	5	0	0	0	7	0	0	Firmicutes; Bacilli; Bacillales; Bacillaceae; Thalassobacillus
2	0	0	0	2	7	0	0	0	0	6	0	0	0	0	0	0	72	0	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	51	0	Proteobacteria; Gammaproteobacteria; Alteromonadales; Idiomarinaceae; Idiomarina
15	20	0	0	2	2	17	9	31	0	16	38	34	17	35	20	17	1	11	0	1	4	57	3	43	24	0	0	49	12	0	72	63	9	1	27	Dadabacteria; Dadabacteriia; Dadabacteriales
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	12	0	0	17	0	0	1	72	0	0	0	0	0	0	0	0	Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	5	0	0	0	0	0	0	1	16	0	0	0	0	0	0	1	0	Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Salegentibacter
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	72	14	0	0	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Aquimonas
15	1	0	0	0	0	62	0	3	2	7	18	0	1	4	19	9	3	0	0	2	13	20	0	3	1	0	0	59	3	0	56	72	9	1	5	Proteobacteria; Alphaproteobacteria
50	12	0	0	0	3	4	19	12	0	42	3	1	0	7	14	2	0	3	0	14	0	1	0	0	0	0	0	1	42	0	42	72	7	4	1	Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae
15	2	16	0	0	0	9	0	0	0	7	5	0	0	5	0	0	0	1	0	0	0	14	0	6	5	0	0	24	3	1	35	72	0	0	1	Desulfobacterota; Desulfuromonadia
0	0	0	0	0	3	0	0	0	3	3	1	2	0	0	0	0	45	1	7	14	0	1	1	0	1	9	72	0	2	58	1	0	0	0	0	Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium
2	3	1	0	0	0	0	1	2	2	0	7	2	1	2	5	2	3	3	3	7	0	0	2	2	0	53	0	0	0	0	28	11	1	2	72	Actinobacteriota; Acidimicrobiia; Microtrichales; Ilumatobacteraceae; Ilumatobacter
1	0	12	10	3	8	0	0	0	9	0	0	0	0	0	0	0	0	0	0	71	0	0	12	0	0	37	5	0	1	0	0	0	2	7	0	Proteobacteria; Alphaproteobacteria; Kiloniellales; Kiloniellaceae; Tistlia
14	0	0	0	45	71	2	11	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria
0	0	0	0	0	0	71	0	0	0	15	0	1	0	0	17	29	1	0	0	1	2	0	0	0	0	0	0	0	10	0	12	0	4	1	0	Proteobacteria; Alphaproteobacteria
54	0	28	32	61	56	0	28	1	13	51	0	0	0	0	0	0	0	24	0	10	12	0	7	0	0	5	0	0	66	0	0	0	71	27	0	Proteobacteria; Alphaproteobacteria
12	0	26	71	1	3	0	14	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	7	0	0	0	1	1	0	Bacteroidota; Bacteroidia; Chitinophagales; Saprospiraceae; Phaeodactylibacter
0	0	0	0	0	0	0	1	0	0	0	71	6	0	6	0	0	0	0	0	0	1	12	0	0	0	0	0	1	0	0	0	0	0	0	33	Bacteroidota; Bacteroidia; Cytophagales
4	0	26	0	16	26	35	0	1	30	46	0	0	0	0	2	36	0	32	0	1	42	1	8	0	0	0	0	5	22	0	13	13	25	71	0	Proteobacteria; Alphaproteobacteria
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	3	15	0	0	0	0	0	0	0	0	Acidobacteriota; Blastocatellia; Blastocatellales; Blastocatellaceae
1	34	0	0	0	0	0	3	48	0	0	7	71	52	1	4	0	0	4	0	0	0	5	0	13	51	0	0	0	2	0	0	1	0	0	6	Proteobacteria; Gammaproteobacteria
1	0	0	0	2	3	1	0	5	35	6	0	0	0	0	0	7	0	1	0	1	3	0	71	0	0	2	1	52	15	1	3	0	53	0	0	Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae
9	1	0	0	0	0	33	0	0	0	0	1	2	1	0	5	22	0	0	0	0	0	0	0	1	0	1	0	31	0	0	71	49	0	0	3	Proteobacteria; Gammaproteobacteria
1	6	0	0	0	0	18	9	14	0	0	71	3	1	6	6	0	2	1	0	0	0	14	0	1	0	0	0	4	2	0	1	2	0	0	45	Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfosarcinaceae; SEEP-SRB1
0	15	0	0	0	0	0	0	70	0	0	4	47	28	8	9	0	0	0	0	0	0	8	0	1	4	0	0	0	0	0	0	0	0	0	5	Chloroflexi; Anaerolineae
0	0	59	70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cyanobacteria; Cyanobacteriia; Cyanobacteriales; Phormidiaceae; Arthrospira PCC-7345
0	0	0	0	70	5	0	0	1	9	0	0	0	0	0	0	0	0	37	1	4	4	0	1	0	0	6	11	0	1	0	0	0	6	2	0	Planctomycetota; Planctomycetes; Pirellulales; Pirellulaceae
0	0	0	0	4	0	0	0	0	9	2	0	0	0	0	0	0	1	21	1	70	15	0	14	0	0	12	0	0	2	0	0	0	0	10	0	Bacteroidota; Bacteroidia; Cytophagales; Cyclobacteriaceae; Echinicola
0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	1	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	1	0	0	0	Proteobacteria; Gammaproteobacteria; HOC36
0	0	0	0	1	5	0	0	0	1	2	0	0	0	0	0	0	2	1	0	16	0	0	0	0	0	41	2	0	0	70	0	0	0	0	0	Proteobacteria; Alphaproteobacteria
2	0	57	70	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	Bacteroidota; Bacteroidia
4	0	30	14	1	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	3	0	0	4	0	0	0	0	2	0	Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas
0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	6	0	0	0	43	3	0	Gemmatimonadota; BD2-11 terrestrial group
2	0	3	70	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	Gemmatimonadota; PAUC43f marine benthic group
0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	5	0	1	10	0	0	2	0	0	24	70	0	0	0	0	0	0	0	0	Actinobacteriota; Actinobacteriaitriliruptoralesitriliruptoraceae
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	25	4	0	0	70	0	0	0	0	0	Chloroflexi; KD4-96
0	0	0	0	0	1	3	0	0	1	70	0	0	0	0	0	1	0	0	0	3	3	0	0	0	0	0	0	2	6	0	3	0	11	2	0	Proteobacteria; Gammaproteobacteria; Steroidobacterales; Woeseiaceae; Woeseia
3	0	18	70	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	1	0	0	0	0	0	0	0	0	1	0	0	70	0	0	0	0	0	Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia
21	1	0	0	0	0	0	3	0	0	0	46	8	2	16	1	0	2	0	0	0	0	44	0	5	6	0	0	7	13	0	4	70	0	0	55	Proteobacteria; Gammaproteobacteria
0	21	0	0	0	0	0	1	27	0	0	6	36	32	3	2	0	0	6	0	1	0	3	0	16	70	0	0	0	0	0	1	0	0	0	4	Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
0	70	0	0	0	0	0	10	40	0	2	8	4	15	6	21	0	8	8	0	1	0	3	0	5	11	0	0	0	0	0	0	12	0	0	2	Proteobacteria
0	0	0	0	0	0	0	0	2	0	0	62	1	0	44	0	0	4	0	0	0	0	70	0	0	1	0	0	0	0	0	0	0	0	0	33	Chloroflexi; Anaerolineae
0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	69	0	31	0	1	1	0	0	21	0	0	1	68	2	0	Proteobacteria; Alphaproteobacteria
0	0	0	0	0	0	0	0	0	0	0	43	7	2	32	12	0	3	0	0	0	0	69	0	2	2	0	0	0	0	0	2	8	0	0	16	Gemmatimonadota; BD2-11 terrestrial group
1	0	0	0	0	1	69	0	1	0	17	0	0	0	0	3	46	0	0	0	0	3	0	0	0	0	0	0	18	0	0	21	5	8	0	0	Proteobacteria; Gammaproteobacteria
2	0	1	1	0	0	0	1	1	0	8	3	2	2	2	8	0	2	0	5	28	1	1	4	3	5	69	0	0	2	0	1	7	1	11	1	Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Erythrobacter
1	0	69	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	Gemmatimonadota; BD2-11 terrestrial group
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	2	21	1	0	0	0	0	2	5	0	1	25	0	0	0	0	1	Chloroflexi; KD4-96
0	0	1	0	56	8	69	0	3	37	37	0	2	0	0	16	21	0	51	0	9	30	1	55	0	0	18	0	11	19	0	7	1	41	47	0	Proteobacteria; Alphaproteobacteria; Rhizobiales
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	29	3	4	0	0	0	3	0	0	0	5	0	0	69	0	0	0	0	0	Actinobacteriota; Actinobacteria; Kineosporiales; Kineosporiaceae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	5	0	0	0	0	0	0	0	15	0	0	13	0	0	0	0	0	Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Ellin6055
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	7	3	0	0	0	0	0	0	69	0	0	4	0	0	0	0	0	Proteobacteria; Alphaproteobacteria; Tistrellales; Geminicoccaceae
1	0	69	0	0	4	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Marinimicrobium
0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	Proteobacteria; Gammaproteobacteria; Ectothiorhodospirales; Thioalkalispiraceae; Thioalkalispira-Sulfurivermis
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	69	0	0	0	0	0	0	0	2	0	Proteobacteria; Gammaproteobacteria; Cellvibrionales; Spongiibacteraceae; Litorivivens
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	Actinobacteriota; Acidimicrobiia; IMCC26256
1	0	0	0	24	12	32	0	9	69	11	1	0	0	0	4	13	0	68	0	3	49	0	6	0	0	0	4	0	18	0	7	1	55	17	0	Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
2	0	0	0	17	1	18	0	6	33	18	0	0	0	1	3	17	0	14	0	1	52	0	8	2	0	0	0	14	11	0	19	9	69	4	0	Proteobacteria; Alphaproteobacteria; Rhizobiales
